,datetime,bubble_count
414,2019-12-28 04:09:21.804000,415
415,2019-12-28 04:09:54.567000,416
416,2019-12-28 05:49:30.653000,417
417,2019-12-28 06:52:10.642000,418
418,2019-12-28 07:24:01.064000,419
419,2019-12-28 07:44:51.780000,420
420,2019-12-28 07:59:55.997000,421
421,2019-12-28 07:59:57.696000,422
422,2019-12-28 09:29:12.066000,423
423,2019-12-28 09:34:46.213000,424
424,2019-12-28 09:35:03.096000,425
425,2019-12-28 09:35:08.847000,426
426,2019-12-28 09:35:39.925000,427
427,2019-12-28 09:36:34.334000,428
428,2019-12-28 10:39:58.290000,429
429,2019-12-28 11:03:02.684000,430
430,2019-12-28 11:20:34.994000,431
431,2019-12-28 11:35:26.295000,432
432,2019-12-28 12:51:27.701000,433
433,2019-12-28 13:59:43.993000,434
434,2019-12-28 16:15:08.372000,435
435,2019-12-28 16:30:19.925000,436
436,2019-12-28 17:50:30.325000,437
437,2019-12-28 18:35:08.350000,438
438,2019-12-28 18:47:14.065000,439
439,2019-12-28 18:47:44.149000,440
440,2019-12-28 20:28:04.184000,441
441,2019-12-28 20:47:05.293000,442
442,2019-12-28 21:51:08.086000,443
443,2019-12-28 22:34:14.368000,444
444,2019-12-28 22:37:11.562000,445
445,2019-12-28 22:56:16.904000,446
446,2019-12-29 01:08:50.977000,447
447,2019-12-29 01:21:20.428000,448
448,2019-12-29 03:42:08.026000,449
449,2019-12-29 03:47:59.427000,450
450,2019-12-29 05:24:10.319000,451
451,2019-12-29 05:32:20.697000,452
452,2019-12-29 06:03:14.587000,453
453,2019-12-29 06:25:26.129000,454
454,2019-12-29 07:58:47.059000,455
455,2019-12-29 08:35:06.402000,456
456,2019-12-29 11:56:05.993000,457
457,2019-12-29 12:07:25.507000,458
458,2019-12-29 12:17:40.051000,459
459,2019-12-29 13:19:39.942000,460
460,2019-12-29 14:29:35.351000,461
461,2019-12-29 15:33:09.960000,462
462,2019-12-29 15:33:16.619000,463
463,2019-12-29 15:33:22.465000,464
464,2019-12-29 16:55:30.217000,465
465,2019-12-29 18:07:40.400000,466
466,2019-12-29 18:09:09.891000,467
467,2019-12-29 18:34:24.473000,468
468,2019-12-29 19:08:59.841000,469
469,2019-12-29 21:15:21.731000,470
470,2019-12-29 23:08:55.775000,471
471,2019-12-29 23:19:23.685000,472
472,2019-12-30 00:02:22.557999,473
473,2019-12-30 00:02:25.011999,474
474,2019-12-30 00:37:06.780999,475
475,2019-12-30 00:37:08.161999,476
476,2019-12-30 00:45:35.178999,477
477,2019-12-30 01:05:47.429999,478
478,2019-12-30 01:34:57.003999,479
479,2019-12-30 03:58:40.191999,480
480,2019-12-30 04:07:19.596999,481
481,2019-12-30 04:36:05.132999,482
482,2019-12-30 05:19:57.088999,483
483,2019-12-30 06:06:31.551999,484
484,2019-12-30 06:25:39.256999,485
485,2019-12-30 08:15:07.771999,486
486,2019-12-30 08:26:53.919999,487
487,2019-12-30 09:37:41.469999,488
488,2019-12-30 10:01:51.505999,489
489,2019-12-30 12:08:06.038999,490
490,2019-12-30 12:37:37.188999,491
491,2019-12-30 14:44:28.755999,492
492,2019-12-30 16:53:22.395999,493
493,2019-12-30 17:00:13.640999,494
494,2019-12-30 17:16:23.527999,495
495,2019-12-30 18:40:27.495999,496
496,2019-12-30 19:29:13.099999,497
497,2019-12-30 20:04:46.890999,498
498,2019-12-30 20:12:10.590999,499
499,2019-12-30 20:58:35.106999,500
500,2019-12-30 21:40:05.597999,501
501,2019-12-30 22:38:30.234999,502
502,2019-12-30 23:12:45.651999,503
503,2019-12-30 23:55:36.012999,504
504,2019-12-31 01:28:01.774001,505
505,2019-12-31 02:15:12.229001,506
506,2019-12-31 04:59:16.836001,507
507,2019-12-31 05:16:53.792001,508
508,2019-12-31 05:30:29.976001,509
509,2019-12-31 06:18:06.401001,510
510,2019-12-31 06:24:20.016001,511
511,2019-12-31 06:42:05.942001,512
512,2019-12-31 07:01:19.233001,513
513,2019-12-31 08:52:30.130001,514
514,2019-12-31 10:23:35.696001,515
515,2019-12-31 10:53:38.875001,516
516,2019-12-31 12:50:53.370001,517
517,2019-12-31 13:02:42.472001,518
518,2019-12-31 14:01:37.975001,519
519,2019-12-31 14:01:56.384001,520
520,2019-12-31 14:58:08.172001,521
521,2019-12-31 15:26:31.763001,522
522,2019-12-31 16:35:27.005001,523
523,2019-12-31 17:04:59.725001,524
524,2019-12-31 17:46:08.360001,525
525,2019-12-31 19:43:57.864001,526
526,2019-12-31 21:29:19.499001,527
527,2019-12-31 22:17:13.034001,528
528,2019-12-31 22:41:47.808001,529
529,2019-12-31 23:18:29.986001,530
530,2020-01-01 00:21:05.528001,531
531,2020-01-01 01:20:48.278001,532
532,2020-01-01 03:39:02.219001,533
533,2020-01-01 03:55:19.375001,534
534,2020-01-01 03:55:44.989001,535
535,2020-01-01 04:03:23.572001,536
536,2020-01-01 04:35:51.297001,537
537,2020-01-01 05:01:40.389001,538
538,2020-01-01 06:29:25.707001,539
539,2020-01-01 07:35:55.343001,540
540,2020-01-01 08:12:06.431001,541
541,2020-01-01 08:30:55.890001,542
542,2020-01-01 08:35:52.755001,543
543,2020-01-01 09:17:17.766001,544
544,2020-01-01 09:31:03.352001,545
545,2020-01-01 10:05:07.865001,546
546,2020-01-01 11:07:30.826001,547
547,2020-01-01 12:24:07.043001,548
548,2020-01-01 13:53:52.073001,549
549,2020-01-02 00:38:26.905000,550
550,2020-01-02 01:14:39.034000,551
551,2020-01-02 02:26:10.170000,552
552,2020-01-02 02:53:56.308000,553
553,2020-01-02 02:54:00.171000,554
554,2020-01-02 02:54:10.725000,555
555,2020-01-02 02:56:26.050000,556
556,2020-01-02 02:56:27.280000,557
557,2020-01-02 03:12:40.830000,558
558,2020-01-02 03:19:11.027000,559
559,2020-01-02 03:33:59.998000,560
560,2020-01-02 03:58:03.362000,561
561,2020-01-02 05:54:35.080000,562
562,2020-01-02 06:20:55.498000,563
563,2020-01-02 07:22:19.368000,564
564,2020-01-02 08:02:57.431000,565
565,2020-01-02 08:27:22.782000,566
566,2020-01-02 09:59:49.084000,567
567,2020-01-02 11:17:21.115000,568
568,2020-01-02 11:35:46.935000,569
569,2020-01-02 13:07:56.022000,570
570,2020-01-02 13:08:14.046000,571
571,2020-01-02 13:18:42.260000,572
572,2020-01-02 14:07:54.170000,573
573,2020-01-02 14:33:05.359000,574
574,2020-01-02 14:58:08.452000,575
575,2020-01-02 15:07:19.278000,576
576,2020-01-02 16:27:41.886000,577
577,2020-01-02 17:02:23.879000,578
578,2020-01-02 17:33:09.030000,579
579,2020-01-02 18:26:29.325000,580
580,2020-01-02 19:02:38.247000,581
581,2020-01-02 19:54:05.574000,582
582,2020-01-02 21:20:39.980000,583
583,2020-01-02 22:10:26.836000,584
584,2020-01-02 22:14:49.603000,585
585,2020-01-03 00:39:21.614000,586
586,2020-01-03 00:42:24.518000,587
587,2020-01-03 01:54:24.190000,588
588,2020-01-03 02:07:58.119000,589
589,2020-01-03 03:18:45.361000,590
590,2020-01-03 03:34:48.469000,591
591,2020-01-03 03:47:57.393000,592
592,2020-01-03 03:48:40.317000,593
593,2020-01-03 03:48:46.934000,594
594,2020-01-03 03:49:41.351000,595
595,2020-01-03 04:51:25.644000,596
596,2020-01-03 06:03:14.977000,597
597,2020-01-03 07:08:50.021000,598
598,2020-01-03 07:12:47.867000,599
599,2020-01-03 08:07:50.138000,600
600,2020-01-03 09:42:33.790000,601
601,2020-01-03 10:05:46.014000,602
602,2020-01-03 11:10:27.733000,603
603,2020-01-03 12:22:37.979000,604
604,2020-01-03 12:30:20.664000,605
605,2020-01-03 13:46:40.737000,606
606,2020-01-03 14:49:43.284000,607
607,2020-01-03 15:15:03.630000,608
608,2020-01-03 15:57:56.231000,609
609,2020-01-03 17:13:39.882000,610
610,2020-01-03 17:33:34.607000,611
611,2020-01-03 17:47:05.210000,612
612,2020-01-03 18:21:16.709000,613
613,2020-01-03 19:55:37.530000,614
614,2020-01-03 20:45:41.851000,615
615,2020-01-03 20:52:23.050000,616
616,2020-01-03 22:10:13.817000,617
617,2020-01-03 22:10:32.435000,618
618,2020-01-03 23:56:24.477000,619
619,2020-01-04 00:26:21.624000,620
620,2020-01-04 01:22:07.444000,621
621,2020-01-04 01:34:16.186000,622
622,2020-01-04 01:40:31.570000,623
623,2020-01-04 02:37:07.064000,624
624,2020-01-04 02:56:12.171000,625
625,2020-01-04 05:04:57.300000,626
626,2020-01-04 05:26:37.564000,627
627,2020-01-04 06:12:34.377000,628
628,2020-01-04 07:29:54.387000,629
629,2020-01-04 08:14:04.112000,630
630,2020-01-04 09:27:07.529000,631
631,2020-01-04 09:40:32.724000,632
632,2020-01-04 09:46:18.822000,633
633,2020-01-04 11:35:33.327000,634
634,2020-01-04 11:36:45.826000,635
635,2020-01-04 13:02:47.925000,636
636,2020-01-04 14:02:55.868000,637
637,2020-01-04 14:14:31.199000,638
638,2020-01-04 16:07:50.325000,639
639,2020-01-04 16:34:06.520000,640
640,2020-01-04 16:44:37.899000,641
641,2020-01-04 17:27:38.651000,642
642,2020-01-04 18:24:32.602000,643
643,2020-01-04 19:09:26.018000,644
